Municipality,Year, Total_Personal_Vehicles,#_of_EVs
Chatham borough,2020,"5,439",89
Bernardsville borough,2015,"5,405",5
Absecon city,2020,"5,392",20
Newton town,2020,"5,360",21
Montvale borough,2015,"5,358",5
Upper Freehold township,2020,"5,338",42
Mount Holly township,2015,"5,327",5
Bloomingdale borough,2015,"5,322",5
Oradell borough,2015,"5,314",8
Tabernacle township,2015,"5,297",4
Clayton borough,2015,"5,293",2
Kenilworth borough,2015,"5,293",1
East Rutherford borough,2015,"5,282",4
Closter borough,2015,"5,277",7
Closter borough,2020,"5,274",105
Runnemede borough,2020,"5,272",12
Washington township,2020,"5,262",15
Bernardsville borough,2020,"5,260",84
Caldwell borough,2020,"5,256",53
Bloomingdale borough,2020,"5,248",20
Fanwood borough,2020,"5,232",38
Wood-Ridge borough,2015,"5,230",6
Lebanon township,2015,"5,228",6
Raritan borough,2020,"5,228",33
Upper Freehold township,2015,"5,221",3
Caldwell borough,2015,"5,218",3
Buena Vista township,2015,"5,217",2
Kenilworth borough,2020,"5,182",18
Emerson borough,2020,"5,155",29
Freehold borough,2015,"5,153",4
Midland Park borough,2020,"5,123",29
Lebanon township,2020,"5,122",35
Leonia borough,2015,"5,103",7
Haddon Heights borough,2015,"5,052",4
West Long Branch borough,2020,"5,048",54
Palmyra borough,2015,"5,046",9
Runnemede borough,2015,"5,025",2
Washington township,2015,"5,015",3
Linwood city,2020,"4,982",40
North Hanover township,2020,"4,970",22
Barrington borough,2020,"4,958",26
Berlin borough,2020,"4,957",20
Milltown borough,2015,"4,955",6
Dennis township,2020,"4,928",20
Dennis township,2015,"4,924",4
Tewksbury township,2015,"4,920",6
Mansfield township,2020,"4,903",24
Milltown borough,2020,"4,894",35
Riverside township,2015,"4,887",3
Hainesport township,2020,"4,882",34
Fairfield township,2015,"4,874",4
Mountainside borough,2020,"4,870",59
Shamong township,2020,"4,859",21
Bogota borough,2015,"4,848",1
Riverside township,2020,"4,848",17
Carneys Point township,2020,"4,844",10
Upper Deerfield township,2020,"4,844",9
Shamong township,2015,"4,841",4
North Caldwell borough,2020,"4,827",37
Green Brook township,2015,"4,822",2
Margate City city,2015,"4,817",3
Rumson borough,2015,"4,817",18
West Long Branch borough,2015,"4,810",7
Bogota borough,2020,"4,792",27
Green Brook township,2020,"4,790",42
Emerson borough,2015,"4,756",1
Butler borough,2015,"4,750",3
Palmyra borough,2020,"4,736",19
Linwood city,2015,"4,728",1
North Caldwell borough,2015,"4,728",3
Fanwood borough,2015,"4,701",6
Margate City city,2020,"4,699",56
North Hanover township,2015,"4,696",3
Keyport borough,2020,"4,682",22
Hainesport township,2015,"4,666",3
Carneys Point township,2015,"4,652",1
Washington borough,2020,"4,638",17
Mountainside borough,2015,"4,626",7
Oceanport borough,2020,"4,623",23
Guttenberg town,2020,"4,619",18
Independence township,2020,"4,616",16
Rumson borough,2020,"4,605",74
Blairstown township,2020,"4,599",19
Midland Park borough,2015,"4,594",6
Stratford borough,2020,"4,584",9
Berlin borough,2015,"4,560",3
Morris Plains borough,2020,"4,540",49
Barrington borough,2015,"4,520",5
Manasquan borough,2020,"4,509",44
Eastampton township,2020,"4,486",15
Haledon borough,2020,"4,477",17
Raritan borough,2015,"4,431",3
Tewksbury township,2020,"4,419",50
Allendale borough,2015,"4,418",3
Mendham township,2020,"4,408",53
Stratford borough,2015,"4,398",2
Glen Ridge borough,2015,"4,361",3
Little Silver borough,2020,"4,348",38
Dunellen borough,2015,"4,345",1
Rockaway borough,2020,"4,342",25
Allendale borough,2020,"4,321",60
Blairstown township,2015,"4,311",2
Newton town,2015,"4,296",3
Roseland borough,2015,"4,296",4
Glen Ridge borough,2020,"4,295",83
Manasquan borough,2015,"4,287",2
Little Silver borough,2015,"4,255",2
Andover township,2020,"4,252",14
Rockaway borough,2015,"4,224",4
Mount Arlington borough,2020,"4,219",14
Roseland borough,2020,"4,219",54
Woodcliff Lake borough,2015,"4,213",6
Keyport borough,2015,"4,212",3
Haledon borough,2015,"4,196",3
Frankford township,2020,"4,193",19
Washington borough,2015,"4,183",4
Frankford township,2015,"4,182",5
Chesterfield township,2015,"4,181",4
Fair Haven borough,2015,"4,176",5
Watchung borough,2015,"4,166",20
Independence township,2015,"4,154",2
Mullica township,2015,"4,152",3
Norwood borough,2015,"4,133",0
Holland township,2015,"4,131",3
Logan township,2015,"4,126",2
Belmar borough,2015,"4,112",4
Mullica township,2020,"4,112",15
Old Tappan borough,2015,"4,104",4
Mendham township,2015,"4,102",6
Alexandria township,2020,"4,097",19
Holland township,2020,"4,091",15
Watchung borough,2020,"4,082",105
Wharton borough,2020,"4,081",17
Logan township,2020,"4,075",23
Dunellen borough,2020,"4,071",45
Eastampton township,2015,"4,070",3
Old Tappan borough,2020,"4,064",41
Carlstadt borough,2020,"4,047",17
Woodcliff Lake borough,2020,"4,042",62
Oceanport borough,2015,"4,035",3
Hampton township,2015,"3,947",2
Andover township,2015,"3,946",2
Allamuchy township,2020,"3,912",17
Union Beach borough,2020,"3,875",12
Belmar borough,2020,"3,869",41
Greenwich township,2020,"3,867",18
Englewood Cliffs borough,2020,"3,861",98
Delaware township,2015,"3,847",4
Union township,2015,"3,838",4
Morris Plains borough,2015,"3,833",5
Rochelle Park township,2020,"3,811",11
Jamesburg borough,2020,"3,806",45
Somerdale borough,2020,"3,798",13
Berlin township,2020,"3,773",12
Chesterfield township,2020,"3,766",53
Carlstadt borough,2015,"3,752",1
Delaware township,2020,"3,752",29
Mount Arlington borough,2015,"3,744",0
Highlands borough,2020,"3,713",17
Union Beach borough,2015,"3,702",2
Greenwich township,2015,"3,700",2
Norwood borough,2020,"3,698",52
Guttenberg town,2015,"3,686",1
Fair Haven borough,2020,"3,680",49
Hampton township,2020,"3,680",13
Paulsboro borough,2020,"3,650",5
Alexandria township,2015,"3,646",4
Wharton borough,2015,"3,623",0
Brielle borough,2015,"3,621",1
Highlands borough,2015,"3,595",1
Harrington Park borough,2020,"3,575",38
Franklin borough,2020,"3,564",8
Greenwich township,2015,"3,560",3
Englewood Cliffs borough,2015,"3,556",9
